"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"Brd1","1","SSD1306","","","","SSD1306:128x64OLED",""
"C1","1","0.33uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C2","1","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"J1","1","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"J2","1","Motor A","","","","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",""
"J3","1","Motor B","","","","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",""
"J4","1","Sensor LFR","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"R1,R2,R3,R4,R5,R6","6","1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R7,R8,R9,R10","4","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"SW1","1","kanan","","","","Button_Switch_THT:SW_PUSH_6mm",""
"SW2","1","kiri","","","","Button_Switch_THT:SW_PUSH_6mm",""
"SW3","1","atas","","","","Button_Switch_THT:SW_PUSH_6mm",""
"SW4","1","bawah","","","","Button_Switch_THT:SW_PUSH_6mm",""
"SW5","1","select","","","","Button_Switch_THT:SW_PUSH_6mm",""
"SW6","1","back","","","","Button_Switch_THT:SW_PUSH_6mm",""
"U1","1","","","","","ESP32_Footprints:ESP32_30pin",""
"U2","1","","","","","DRV8833:DRV8833 Module",""
"U3","1","L7806","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabUp","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U4","1","HC-SR04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
